source,metric,sector,vendor_pair,quissly_mean,other_mean,observed_diff,ci_low,ci_high,p_raw,p_holm_236,significant_236,n_queries,n_replicates,seed
original_grid,precision_at_20,fast_fashion,quissly_vs_clerk,0.500216,0.371555,0.128661,0.087562,0.172136,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_20,furniture,quissly_vs_clerk,0.559004,0.433597,0.125407,0.080630,0.169787,0.000000,0.000000,True,179,10000,42
original_grid,precision_at_20,marketplace,quissly_vs_clerk,0.321845,0.208236,0.113609,0.075667,0.153323,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_20,pharmacy,quissly_vs_clerk,0.442851,0.300074,0.142776,0.087422,0.197674,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_20,pooled,quissly_vs_clerk,0.524330,0.386757,0.137573,0.121338,0.154322,0.000000,0.000000,True,1259,10000,42
original_grid,precision_at_20,auto,quissly_vs_doofinder,0.641775,0.522757,0.119018,0.080798,0.158121,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_20,cosmetics,quissly_vs_doofinder,0.637637,0.541164,0.096473,0.065932,0.127406,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_20,electronics,quissly_vs_doofinder,0.567171,0.418400,0.148771,0.105524,0.192911,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_20,fast_fashion,quissly_vs_doofinder,0.500216,0.385877,0.114339,0.070929,0.158737,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_20,furniture,quissly_vs_doofinder,0.559004,0.465181,0.093823,0.057328,0.130005,0.000000,0.000000,True,179,10000,42
original_grid,precision_at_20,marketplace,quissly_vs_doofinder,0.321845,0.257593,0.064252,0.029390,0.101571,0.000600,0.009000,True,180,10000,42
original_grid,precision_at_20,pharmacy,quissly_vs_doofinder,0.442851,0.317304,0.125547,0.066264,0.185054,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_20,pooled,quissly_vs_doofinder,0.524330,0.415429,0.108901,0.093264,0.124721,0.000000,0.000000,True,1259,10000,42
original_grid,precision_at_20,auto,quissly_vs_luigisbox,0.641775,0.504319,0.137456,0.097918,0.177552,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_20,cosmetics,quissly_vs_luigisbox,0.637637,0.545976,0.091661,0.058713,0.126392,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_20,electronics,quissly_vs_luigisbox,0.567171,0.400178,0.166993,0.124240,0.209843,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_20,fast_fashion,quissly_vs_luigisbox,0.500216,0.393512,0.106704,0.055700,0.158493,0.000200,0.003600,True,180,10000,42
original_grid,precision_at_20,furniture,quissly_vs_luigisbox,0.559004,0.489931,0.069073,0.027042,0.110977,0.000600,0.009000,True,179,10000,42
original_grid,precision_at_20,marketplace,quissly_vs_luigisbox,0.321845,0.253468,0.068377,0.025846,0.113207,0.000600,0.009000,True,180,10000,42
original_grid,precision_at_20,pharmacy,quissly_vs_luigisbox,0.442851,0.295744,0.147106,0.093387,0.202812,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_20,pooled,quissly_vs_luigisbox,0.524330,0.411814,0.112516,0.095725,0.129470,0.000000,0.000000,True,1259,10000,42
original_grid,recall_at_10,auto,quissly_vs_algolia,0.371534,0.217898,0.153636,0.114605,0.194078,0.000000,0.000000,True,174,10000,42
original_grid,recall_at_10,cosmetics,quissly_vs_algolia,0.364963,0.212647,0.152316,0.111241,0.195725,0.000000,0.000000,True,169,10000,42
original_grid,recall_at_10,electronics,quissly_vs_algolia,0.458270,0.256547,0.201722,0.155742,0.250403,0.000000,0.000000,True,167,10000,42
original_grid,recall_at_10,fast_fashion,quissly_vs_algolia,0.381808,0.183717,0.198091,0.134458,0.262026,0.000000,0.000000,True,145,10000,42
original_grid,recall_at_10,furniture,quissly_vs_algolia,0.471854,0.271973,0.199881,0.155224,0.248368,0.000000,0.000000,True,162,10000,42
original_grid,recall_at_10,marketplace,quissly_vs_algolia,0.564211,0.269579,0.294632,0.214177,0.377302,0.000000,0.000000,True,103,10000,42
original_grid,recall_at_10,pharmacy,quissly_vs_algolia,0.439957,0.208640,0.231317,0.167948,0.295964,0.000000,0.000000,True,139,10000,42
original_grid,recall_at_10,pooled,quissly_vs_algolia,0.428637,0.230558,0.198079,0.178024,0.218433,0.000000,0.000000,True,1059,10000,42
original_grid,recall_at_10,auto,quissly_vs_clerk,0.371534,0.250968,0.120566,0.078023,0.164366,0.000000,0.000000,True,174,10000,42
original_grid,recall_at_10,cosmetics,quissly_vs_clerk,0.364963,0.249739,0.115224,0.081957,0.150049,0.000000,0.000000,True,169,10000,42
original_grid,recall_at_10,electronics,quissly_vs_clerk,0.458270,0.262016,0.196253,0.150455,0.242848,0.000000,0.000000,True,167,10000,42
original_grid,recall_at_10,fast_fashion,quissly_vs_clerk,0.381808,0.182615,0.199193,0.136331,0.261378,0.000000,0.000000,True,145,10000,42
original_grid,recall_at_10,furniture,quissly_vs_clerk,0.471854,0.335661,0.136193,0.098942,0.176142,0.000000,0.000000,True,162,10000,42
original_grid,recall_at_10,marketplace,quissly_vs_clerk,0.564211,0.333263,0.230947,0.148224,0.315586,0.000000,0.000000,True,103,10000,42
