engine,ezr_shipped,ezr_claude,ndcg@10_shipped,ndcg@10_claude,ndcg@20_shipped,ndcg@20_claude,p@10_shipped,p@10_claude,p@20_shipped,p@20_claude,recall@10_shipped,recall@10_claude,recall@20_shipped,recall@20_claude
quissly,0.0739,0.0548,0.7378,0.7228,0.7728,0.76,0.5636,0.5759,0.5243,0.5348,0.4286,0.4203,0.6549,0.6523
doofinder,0.1183,0.077,0.5424,0.5354,0.545,0.5422,0.4459,0.4544,0.4154,0.4215,0.2816,0.2794,0.417,0.4133
luigisbox,0.2446,0.2049,0.5081,0.5043,0.5041,0.4994,0.4393,0.4522,0.4118,0.42,0.2602,0.2532,0.3778,0.3721
clerk,0.1978,0.1557,0.4924,0.482,0.4921,0.4819,0.4135,0.4209,0.3868,0.3911,0.2599,0.2457,0.3814,0.3669
algolia,0.3789,0.3566,0.4406,0.4364,0.4377,0.4333,0.3869,0.3942,0.362,0.3673,0.2306,0.2212,0.3372,0.3245
